Prefix,Country
381,Kosovo
382,Montenegro
383,Kosovo
387,Bosnia and Herzegovina
389,Macedonia
446,United Kingdom
449,United Kingdom
470,Norway
478,Norway
500,Falkland Islands
509,Haiti
592,Guyana
594,French Guiana
596,Martinique
4842206,Poland
4845920,Poland
4845950,Poland
4852880,Poland
4857942,Poland
4857946,Poland
4857948,Poland
4857953,Poland
4858535,Poland
4858670,Poland
4861423,Poland
4871862,Poland
4873993,Poland
4881450,Poland
5632210,Chile
5632255,Chile
5645197,Chile
8835100,International National Rate Service
8835110,International National Rate Service
8835130,International National Rate Service